Timestamp,Message
Feb, 1 09:00:28 combo systemd-modules-load[186]: Inserted module 'lp'
Feb, 1 09:00:28 combo systemd[1]: Starting Flush Journal to Persistent Storage...
Feb, 1 09:00:28 combo systemd[1]: Finished Create System Users.
Feb, 1 09:00:28 combo systemd[1]: Starting Create Static Device Nodes in /dev...
Feb, 1 09:00:28 combo systemd-modules-load[186]: Inserted module 'ppdev'
Feb, 1 09:00:28 combo systemd-modules-load[186]: Inserted module 'parport_pc'
Feb, 1 09:00:28 combo systemd-modules-load[186]: Inserted module 'msr'
Feb, 1 09:00:28 combo systemd-modules-load[186]: Module 'fuse' is built in
Feb, 1 09:00:28 combo systemd[1]: Finished Flush Journal to Persistent Storage.
Feb, 1 09:00:28 combo systemd[1]: Finished Create Static Device Nodes in /dev.
Feb, 1 09:00:28 combo systemd[1]: Starting Rule-based Manager for Device Events and Files...
Feb, 1 09:00:28 combo systemd[1]: Finished Coldplug All udev Devices.
Feb, 1 09:00:28 combo systemd-modules-load[186]: Inserted module 'vmwgfx'
Feb, 1 09:00:28 combo systemd[1]: Finished Set the console keyboard layout.
Feb, 1 09:00:28 combo systemd[1]: Finished Load Kernel Modules.
Feb, 1 09:00:28 combo systemd[1]: Reached target Preparation for Local File Systems.
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for bare, revision 5..."
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for core20, revision 1974..."
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for core22, revision 858..."
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for firefox, revision 2987..."
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for gnome-3-38-2004, revision 143..."
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for gnome-42-2204, revision 120..."
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for gtk-common-themes, revision 1535..."
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for snap-store, revision 959..."
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for snapd, revision 19457..."
Feb," 1 09:00:28 combo systemd[1]: Mounting Mount unit for snapd-desktop-integration, revision 83..."
Feb, 1 09:00:28 combo systemd[1]: Starting Apply Kernel Variables...
Feb, 1 09:00:28 combo systemd[1]: Started Rule-based Manager for Device Events and Files.
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for bare, revision 5."
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for core20, revision 1974."
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for core22, revision 858."
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for firefox, revision 2987."
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for gnome-3-38-2004, revision 143."
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for gnome-42-2204, revision 120."
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for gtk-common-themes, revision 1535."
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for snap-store, revision 959."
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for snapd, revision 19457."
Feb," 1 09:00:28 combo systemd[1]: Mounted Mount unit for snapd-desktop-integration, revision 83."
Feb, 1 09:00:28 combo systemd[1]: Reached target Mounted snaps.
Feb, 1 09:00:28 combo systemd[1]: Starting Show Plymouth Boot Screen...
Feb, 1 09:00:28 combo systemd[1]: Finished Apply Kernel Variables.
Feb, 1 09:00:28 combo systemd[1]: Received SIGRTMIN+20 from PID 235 (plymouthd).
Feb, 1 09:00:28 combo systemd[1]: Started Show Plymouth Boot Screen.
Feb, 1 09:00:28 combo systemd[1]: Condition check resulted in Dispatch Password Requests to Console Directory Watch being skipped.
Feb, 1 09:00:28 combo systemd[1]: Started Forward Password Requests to Plymouth Directory Watch.
Feb, 1 09:00:28 combo systemd[1]: Reached target Local Encrypted Volumes.
Feb, 1 09:00:28 combo systemd-udevd[222]: Using default interface naming scheme 'v249'.
Feb, 1 09:00:28 combo systemd-udevd[224]: Using default interface naming scheme 'v249'.
Feb," 1 09:00:28 combo mtp-probe: checking bus 1, device 2: ""/sys/devices/pci0000:00/0000:00:06.0/usb1/1-1"""
Feb," 1 09:00:28 combo mtp-probe: bus: 1, device: 2 was not an MTP device"
Feb, 1 09:00:28 combo systemd-udevd[226]: sda: Process '/usr/bin/unshare -m /usr/bin/snap auto-import --mount=/dev/sda' failed with exit code 1.
